ID_ANUNCIO,TP_ANUNCIO,FACE_SENTIDO,DIM_LARG_M,DIM_COMP_M,EMPRESA_ANUNCIANTE,EMPRESA_IMPLANTA,CADASTRO_DER,CADASTRO_DER_NRO,VALOR,OBS
010170002384,4,0,,,MM ZEREP,,,,,
010170002395,,1,,,,,,,,
010170002406,4,1,,,DIVIMAX VIDROS,,,,,
010170002417,4,0,,,MM ZEREP,,,,,
010170002428,4,0,,,AEROPORTO BANDEIRAPARK,,,,,
010170002439,,1,,,,,,,,
010170002441,1,0,,,GRUPO PETROPOLIS,,,,,
010170002452,1,1,,,GRUPO PETROPOLIS,,,,,
010170002463,4,0,,,CARMEN STEFFENS,VEX PAINEIS,,,,
010170002474,,1,,,,,,,,
010170002485,,0,,,,,,,,
010170002496,4,1,,,LEITE JUSSARA,VEX PAINEIS,,,,
010170002507,4,0,,,SAMBE SAMBA,,,,,
010170002518,4,0,,,FREECO,,,,,
010170002529,4,1,,,IMPACT MIDIA BRASIL,,,,,
010170002531,1,1,,,LOGBRAS,,,,,
010170002542,4,1,,,AMPLILUME,AMPLILUME PAINEIS,,,,
010170002553,,1,,,,,,,,
010170002564,4,1,,,NEGOCIOS IMOVEIS,,,,,
010170002575,4,0,,,NEGOCIOS IMOVEIS,,,,,
010170002586,4,1,,,HOSTFIBER,VEX PAINEIS,,,,
010170002597,4,0,,,HOSTFIBER,VEX PAINEIS,,,,
010170002608,4,1,,,GRAAL,J.SILVA PAINEIS,,,,
010170002619,4,0,,,SODIE SALGADOS,VEX PAINEIS,,,,
010170002621,4,0,,,PALMEIRAS BARREIRO,,,,,
010170002632,1,1,,,GRAAL,J.SILVA PAINEIS,,,,
010170002643,,1,,,,,,,,
010170002654,4,1,,,LEVITY,J.SILVA PAINEIS,,,,
010170002665,4,0,,,GRAAL,J.SILVA PAINEIS,,,,
010170002676,4,1,,,SAVEGNAGO,DESTAQUE OUTDOOR,,,,
010170002687,3,0,,,EZTEC, ,,,,
010170002698,1,1,,,CEMITÉRIO PARQUE JARAGUA, ,,,,
010170002709,3,1,,,3TEL, ,,,,
010170002711,0,1,,,ETOILE, ,,,,
010170002722,1,1,,,RIBEIRO CARAM, ,,,,
010170002733,4,1,,,GRUPO REAL, ,,,,
010170002744,0,0,,,GLP, ,,,,
010170002755,3,0,,,SOLIS SOLAR, ,,,,
010170002766,0,1,,,, ,,,,
010170002777,1,0,,,FRANGO ASSADO, ,,,,
010170002788,0,0,,,,ZOCRAM,,,,
010170002799,1,1,,,BR PROPERTIES, ,,,,
010170002801,0,1,,,, ,,,,
010170002812,1,1,,,EQAMAX, ,,,,
010170002823,1,0,,,EQAMAX, ,,,,
010170002834,3,1,,,CENTERVILLE EMPRESARIAL,KARONY,,,,
010170002845,3,0,,,SEPAC, ,,,,
010170002856,0,0,,,JUSTIÇA ESPERANÇA, ,,,,
010170002867,0,0,,,JUSTIÇA ESPERANÇA, ,,,,
010170002878,0,0,,,, ,,,,
010170002889,4,0,,,TAMBORÉ JUNDIAÍ, ,,,,
010170002891,0,0,,,MIDIA PAINEIS,MIDIA PAINÉIS,,,,
010170002902,4,0,,,TERRAS DA ALVORADA,,,,,
010170002913,0,0,,,MULTI MEIOS,MULTI MEIOS,,,,
010170002924,1,0,,,BBP CONDOMINIOS LOGISTICOS, ,,,,
010170002935,1,0,,,BBP CONDOMINIOS LOGISTICOS, ,,,,
010170002946,3,0,,,JUNDSONDAS, ,,,,
010170002957,3,0,,,RAMARIM, ,,,,
010170002968,3,1,,,COLINAS DA COLONIA, ,,,,
010170002979,4,1,,,MAC LUCER EMPREENDIMENTOS, ,,,,
010170002981,4,0,,,MULTI MODA CENTER, ,,,,
010170002992,0,0,,,, ,,,,
010170003003,0,0,,,, ,,,,
010170003014,1,0,,,CELITE, ,,,,
010170003025,4,0,,,DELPHOS, ,,,,
010170003036,4,0,,,MARCELO CAMPOS, ,,,,
010170003047,0,0,,,, ,,,,
010170003058,4,1,,,SA METAL CENTER, ,,,,
010170003069,4,1,,,RAM, ,,,,
010170003071,0,0,,,, ,,,,
010170003082,4,0,,,FORT ATACADISTA, ,,,,
010170003093,4,0,,,VEDUTA ESMERALDA, ,,,,
010170003104,4,0,,,COMPLEXO DO AÇO, ,,,,
010170003115,4,0,,,FORT ATACADISTA, ,,,,
010170003126,2,0,,,POSTO CARREFOUR, ,,,,
010170003137,4,0,,,GRAAL 67, ,,,,
010170003148,4,0,,,BOUTIQUE DE IMÓVEIS,CHANGE PAINEIS,,,,
010170003159,1,1,,,COMERCIAL GERDAU, ,,,,
010170003161,1,1,,,COMERCIAL GERDAU, ,,,,
010170003172,4,0,,,BRAS E 25 DE MARÇO, ,,,,
010170003183,0,0,,,, ,,,,
010170003194,4,0,,,CHROMA VEICULOS, ,,,,
010170003205,4,1,,,MELINDA, ,,,,
010170003216,3,1,,,DELICIA , ,,,,
010170003227,4,0,,,MELINDA, ,,,,
010170003238,4,1,,,DELICIA , ,,,,
010170003249,4,0,,,MODAL RB, ,,,,
010170003251,4,1,,,EUROCENTRE IDIOMAS, ,,,,
